DATE|S&P500D|TBILL|GM|GE|rm -rf|ge - rf
feb-59|0,0067874400|0,0022852244|-0,0361760000|0,0273750000|0,0045022156|0,0250897756
mar-59|0,0035312810|0,0023851280|-0,0243900000|0,0266460000|0,0011461530|0,0242608720
abr-59|0,0415613700|0,0023770098|0,0972220000|0,0276500000|0,0391843602|0,0252729902
may-59|0,0240413100|0,0025214050|0,0531650000|-0,0254110000|0,0215199050|-0,0279324050
jun-59|-0,0002021469|0,0026752826|-0,0024270000|-0,0092020000|-0,0028774295|-0,0118772826
jul-59|0,0345509500|0,0024930307|0,1021900000|0,0124610000|0,0320579193|0,0099679693
ago-59|-0,0100053900|0,0031707818|0,0264900000|0,0076920000|-0,0131761718|0,0045212182
sep-59|-0,0429823700|0,0033966544|-0,0477220000|-0,0305340000|-0,0463790244|-0,0339306544
oct-59|0,0122197600|0,0033267821|-0,0341690000|0,0237720000|0,0088929779|0,0204452179
nov-59|0,0181116700|0,0036852137|-0,0141510000|0,1346750000|0,0144264563|0,1309897863
dic-59|0,0307586700|0,0036267740|0,0531400000|0,0873120000|0,0271318960|0,0836852260
ene-60|-0,0710917500|0,0033058903|-0,1215600000|-0,1374530000|-0,0743976403|-0,1407588903
feb-60|0,0120684500|0,0034592531|-0,0287210000|0,0467840000|0,0086091969|0,0433247469
mar-60|-0,0120402000|0,0025262682|-0,0326090000|0,0097770000|-0,0145664682|0,0072507318
abr-60|-0,0164140700|0,0025262682|-0,0056180000|-0,0139080000|-0,0189403382|-0,0164342682
may-60|0,0326149500|0,0026380518|-0,0056500000|0,0084630000|0,0299768982|0,0058249482
jun-60|0,0221480000|0,0018281720|0,0114940000|0,0377620000|0,0203198280|0,0359338280
jul-60|-0,0213155100|0,0018322557|0,0000000000|-0,0826560000|-0,0231477657|-0,0844882557
ago-60|0,0298013400|0,0018657351|0,0369320000|-0,0280650000|0,0279356049|-0,0299307351
sep-60|-0,0581739300|0,0019285778|-0,0581720000|-0,1018240000|-0,0601025078|-0,1037525778
oct-60|-0,0009895068|0,0017619906|-0,0117650000|-0,0051110000|-0,0027514974|-0,0068729906
nov-60|0,0452671500|0,0019946383|-0,0119050000|0,0273970000|0,0432725117|0,0254023617
dic-60|0,0483191100|0,0018453223|-0,0091460000|0,0000000000|0,0464737877|-0,0018453223
ene-61|0,0648003600|0,0019285778|0,0830770000|-0,0486580000|0,0628717822|-0,0505865778
feb-61|0,0330748600|0,0021656835|0,0340910000|-0,0740740000|0,0309091765|-0,0762396835
mar-61|0,0297149600|0,0019987146|0,0250000000|-0,0019050000|0,0277162454|-0,0039037146
abr-61|0,0048091700|0,0018951215|-0,0189700000|-0,0576920000|0,0029140485|-0,0595871215
may-61|0,0235605200|0,0019530503|-0,0027620000|0,0571430000|0,0216074697|0,0551899497
jun-61|-0,0267017500|0,0018779806|-0,0084030000|-0,0115830000|-0,0285797306|-0,0134609806
jul-61|0,0346515500|0,0018371559|0,0649720000|0,0452760000|0,0328143941|0,0434388441
ago-61|0,0250433700|0,0019620218|0,0000000000|0,0677970000|0,0230813482|0,0658349782
sep-61|-0,0171936700|0,0018616529|0,0643430000|0,0652560000|-0,0190553229|0,0633943471
oct-61|0,0278757000|0,0019163391|0,0050380000|-0,0133330000|0,0259593609|-0,0152493391
nov-61|0,0459194300|0,0021233594|0,1152880000|0,0641890000|0,0437960706|0,0620656406
dic-61|0,0045359270|0,0022153079|0,0434780000|-0,0380950000|0,0023206191|-0,0403103079
ene-62|-0,0375731200|0,0022730335|0,0021930000|-0,0033220000|-0,0398461535|-0,0055950335
feb-62|0,0199899900|0,0022567765|-0,0262580000|-0,0050000000|0,0177332135|-0,0072567765
mar-62|-0,0050339730|0,0022941633|0,0158730000|0,0368510000|-0,0073281363|0,0345568367
abr-62|-0,0609177600|0,0022689695|-0,0535710000|-0,1073170000|-0,0631867295|-0,1095859695
may-62|-0,0800788400|0,0022486469|-0,0283020000|-0,0418940000|-0,0823274869|-0,0441426469
jun-62|-0,0809096900|0,0024184049|-0,0514710000|-0,0874520000|-0,0833280949|-0,0898704049
jul-62|0,0660600700|0,0023981155|0,0749350000|0,1155460000|0,0636619545|0,1131478845
ago-62|0,0216698500|0,0023437178|0,0336540000|0,0320150000|0,0193261322|0,0296712822
sep-62|-0,0482836500|0,0022852244|-0,0046950000|-0,0602190000|-0,0505688744|-0,0625042244
oct-62|0,0080131210|0,0022649054|0,0330190000|0,0606650000|0,0057482156|0,0584000946
nov-62|0,1081340000|0,0023851280|0,0433790000|0,1033210000|0,1057488720|0,1009358720
dic-62|0,0157574900|0,0024395010|0,0449440000|0,0334450000|0,0133179890|0,0310054990
ene-63|0,0506102600|0,0024435574|0,0795700000|0,0195440000|0,0481667026|0,0171004426
feb-63|-0,0242291400|0,0024184049|-0,0338650000|-0,0702880000|-0,0266475449|-0,0727064049
mar-63|0,0365460900|0,0024265193|0,0810810000|0,0326460000|0,0341195707|0,0302194807
abr-63|0,0490350300|0,0024265193|0,0519230000|0,0552760000|0,0466085107|0,0528494807
may-63|0,0194386900|0,0025011385|0,0859230000|0,0666670000|0,0169375515|0,0641658615
jun-63|-0,0185568100|0,0024930307|-0,0409560000|-0,0535710000|-0,0210498407|-0,0560640307
jul-63|-0,0017631940|0,0027246304|0,0142350000|-0,0110760000|-0,0044878244|-0,0138006304
ago-63|0,0529441300|0,0028200143|0,0666670000|0,0432000000|0,0501241157|0,0403799857
sep-63|-0,0103833700|0,0028240537|0,0016560000|-0,0199390000|-0,0132074237|-0,0227630537
oct-63|0,0344130700|0,0028943122|0,1603310000|0,0551180000|0,0315187578|0,0522236878
nov-63|-0,0039757280|0,0029144914|-0,0783480000|-0,0149250000|-0,0068902194|-0,0178394914
dic-63|0,0260036500|0,0029395074|-0,0031700000|0,0627270000|0,0230641426|0,0597874926
