DATE|S&P500D|TBILL|GM|GE|rm -rf|ge - rf
mar-94|-0,0434535300|0,0028983484|-0,0751070000|-0,0441760000|-0,0463518784|-0,0470743484
abr-94|0,0125750300|0,0032198622|0,0533640000|-0,0475000000|0,0093551678|-0,0507198622
may-94|0,0163234400|0,0035001598|-0,0493390000|0,0446190000|0,0128232802|0,0411188402
jun-94|-0,0247676400|0,0034504277|-0,0651160000|-0,0555780000|-0,0282180677|-0,0590284277
jul-94|0,0327017900|0,0035482619|0,0223880000|0,0804290000|0,0291535281|0,0768807381
ago-94|0,0413396500|0,0037867937|-0,0180050000|-0,0124070000|0,0375528563|-0,0161937937
sep-94|-0,0243068600|0,0038762822|-0,0671640000|-0,0254270000|-0,0281831422|-0,0293032822
oct-94|0,0225674100|0,0041704959|-0,1573330000|0,0155840000|0,0183969141|0,0114135041
nov-94|-0,0362678400|0,0046041043|-0,0297470000|-0,0588240000|-0,0408719443|-0,0634281043
dic-94|0,0148758900|0,0045795405|0,1049180000|0,1176090000|0,0102963495|0,1130294595
ene-95|0,0257233800|0,0048248811|-0,0771510000|0,0098040000|0,0208984989|0,0049791189
feb-95|0,0394299500|0,0047679575|0,1016080000|0,0631070000|0,0346619925|0,0583390425
mar-95|0,0294008200|0,0047173290|0,0322580000|-0,0062100000|0,0246834910|-0,0109273290
abr-95|0,0294256700|0,0047094157|0,0255680000|0,0370370000|0,0247162543|0,0323275843
may-95|0,0398547500|0,0046611301|0,0703600000|0,0357140000|0,0351936199|0,0310528699
jun-95|0,0242090100|0,0045058097|-0,0234380000|-0,0209480000|0,0197032003|-0,0254538097
jul-95|0,0332614800|0,0044883592|0,0400000000|0,0465630000|0,0287731208|0,0420746408
ago-95|0,0036052890|0,0043835866|-0,0271790000|-0,0021190000|-0,0007782976|-0,0065025866
sep-95|0,0421446700|0,0043430741|-0,0053050000|0,0897660000|0,0378015959|0,0854229259
oct-95|-0,0035162260|0,0044089971|-0,0666670000|-0,0078430000|-0,0079252231|-0,0122519971
nov-95|0,0442316500|0,0044082031|0,1154290000|0,0612650000|0,0398234469|0,0568567969
dic-95|0,0177067000|0,0041139593|0,0902060000|0,0794790000|0,0135927407|0,0753650407
